# from https://forge.in2p3.fr/issues/33587
# pix_id  cluster_i  cluster_j  pix_id_in_cluster
 746         5          7              2
 747         5          5              7
 748         5          5              6
 749         6          4              5
 750         6          4              4
 751         6          4              3
 752         7          3              1
 753         7          3              2
 754         7          1              5
 755         7          1              1
 756         6          0              6
 757         6          0              3
 758         6         -2              7
 759         6         -2              4
 760         6         -2              2
 761         6         -4              5
 762         6         -4              1
 763         5         -5              6
 764         5         -5              3
 765         5         -7              7
 766         5         -7              4
 767         5         -7              2
 768         5         -9              5
 769         5         -9              1
 770         4        -10              7
 771         4        -10              5
 772         3         -9              3
 773         3         -9              2
 774         2        -10              6
 775         2        -10              4
 776         2        -10              1
 777         1        -11              7
 778         1        -11              5
 779         0        -10              3
 780         0        -10              2
 781        -1        -11              6
 782        -1        -11              4
 783        -1        -11              1
 784        -2        -12              7
 785        -2        -12              5
 786        -3        -11              6
 787        -3        -11              7
 788        -3         -9              2
 789        -3         -9              1
 790        -4         -8              3
 791        -4         -8              4
 792        -4         -8              5
 793        -5         -7              6
 794        -5         -7              7
 795        -5         -5              2
 796        -5         -5              1
 797        -6         -4              3
 798        -6         -4              4
 799        -6         -4              5
 800        -7         -3              6
 801        -7         -3              7
 802        -7         -1              3
 803        -7         -1              6
 804        -6          0              1
 805        -6          0              5
 806        -6          2              2
 807        -6          2              4
 808        -6          2              7
 809        -6          4              3
 810        -6          4              6
 811        -5          5              1
 812        -5          5              5
 813        -5          7              2
 814        -5          7              4
 815        -5          7              7
 816        -5          9              3
 817        -5          9              7
 818        -4         10              1
 819        -4         10              4
 820        -4         10              6
 821        -3         11              2
 822        -3         11              3
 823        -2         10              5
 824        -2         10              7
 825        -1         11              1
 826        -1         11              4
 827        -1         11              6
 828         0         12              2
 829         0         12              3
 830         1         11              5
 831         1         11              7
 832         2         12              1
 833         2         12              4
 834         2         12              6
 835         3         11              5
 836         3         11              4
 837         3         11              3
 838         4         10              1
 839         4         10              2
 840         4          8              7
 841         4          8              6
 842         5          7              5
 843         5          7              4
 844         5          7              3
 845         6          6              1
 846         6          6              2
 847         6          4              7
 848         6          4              6
 849         7          3              5
 850         7          3              4
 851         7          3              3
 852         7          1              7
 853         7          1              4
 854         7          1              2
 855         7         -1              5
 856         7         -1              1
 857         6         -2              6
 858         6         -2              3
 859         6         -4              7
 860         6         -4              4
 861         6         -4              2
 862         6         -6              5
 863         6         -6              1
 864         5         -7              6
 865         5         -7              3
 866         5         -9              7
 867         5         -9              4
 868         5         -9              2
 869         4        -10              6
 870         4        -10              4
 871         4        -10              1
 872         3        -11              7
 873         3        -11              5
 874         2        -10              3
 875         2        -10              2
 876         1        -11              6
 877         1        -11              4
 878         1        -11              1
 879         0        -12              7
 880         0        -12              5
 881        -1        -11              3
 882        -1        -11              2
 883        -2        -12              6
 884        -2        -12              4
 885        -2        -12              1
 886        -3        -11              3
 887        -3        -11              4
 888        -3        -11              5
 889        -4        -10              6
 890        -4        -10              7
 891        -4         -8              2
 892        -4         -8              1
 893        -5         -7              3
 894        -5         -7              4
 895        -5         -7              5
 896        -6         -6              6
 897        -6         -6              7
 898        -6         -4              2
 899        -6         -4              1
 900        -7         -3              3
 901        -7         -3              4
 902        -7         -3              5
 903        -7         -1              2
 904        -7         -1              4
 905        -7         -1              7
 906        -7          1              3
 907        -7          1              6
 908        -6          2              1
 909        -6          2              5
 910        -6          4              2
 911        -6          4              4
 912        -6          4              7
 913        -6          6              3
 914        -6          6              6
 915        -5          7              1
 916        -5          7              5
 917        -5          9              2
 918        -5          9              4
 919        -5         11              2
 920        -5         11              3
 921        -4         10              5
 922        -4         10              7
 923        -3         11              1
 924        -3         11              4
 925        -3         11              6
 926        -2         12              2
 927        -2         12              3
 928        -1         11              5
 929        -1         11              7
 930         0         12              1
 931         0         12              4
 932         0         12              6
 933         1         13              2
 934         1         13              3
 935         2         12              5
 936         2         12              7
 937         3         13              1
 938         3         13              2
 939         3         11              7
 940         3         11              6
 941         4         10              5
 942         4         10              4
 943         4         10              3
 944         5          9              1
 945         5          9              2
 946         5          7              7
 947         5          7              6
 948         6          6              5
 949         6          6              4
 950         6          6              3
 951         7          5              1
 952         7          5              2
 953         7          3              7
 954         7          3              6
 955         8          2              5
 956         8          2              1
 957         7          1              6
 958         7          1              3
 959         7         -1              7
 960         7         -1              4
 961         7         -1              2
 962         7         -3              5
 963         7         -3              1
 964         6         -4              6
 965         6         -4              3
 966         6         -6              7
 967         6         -6              4
 968         6         -6              2
 969         6         -8              5
 970         6         -8              1
 971         5         -9              6
 972         5         -9              3
 973         5        -11              7
 974         5        -11              5
 975         4        -10              3
 976         4        -10              2
 977         3        -11              6
 978         3        -11              4
 979         3        -11              1
 980         2        -12              7
 981         2        -12              5
 982         1        -11              3
 983         1        -11              2
 984         0        -12              6
 985         0        -12              4
 986         0        -12              1
 987        -1        -13              7
 988        -1        -13              5
 989        -2        -12              3
 990        -2        -12              2
 991        -3        -13              6
 992        -3        -13              7
 993        -3        -11              2
 994        -3        -11              1
 995        -4        -10              3
 996        -4        -10              4
 997        -4        -10              5
 998        -5         -9              6
 999        -5         -9              7
1000        -5         -7              2
1001        -5         -7              1
1002        -6         -6              3
1003        -6         -6              4
1004        -6         -6              5
1005        -7         -5              6
1006        -7         -5              7
1007        -7         -3              2
1008        -7         -3              1
1009        -8         -2              3
1010        -8         -2              6
1011        -7         -1              1
1012        -7         -1              5
1013        -7          1              2
1014        -7          1              4
1015        -7          1              7
1016        -7          3              3
1017        -7          3              6
1018        -6          4              1
1019        -6          4              5
